zipcode,type,subtype,price,number_of_rooms,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
6800,HOUSE,HOUSE,295000,5,460,1,0,0,1,10,0,,321,2,0,TO_BE_DONE_UP
7800,HOUSE,HOUSE,230000,4,128,0,0,0,0,,0,,570,4,0,
8760,HOUSE,HOUSE,145000,6,,0,0,0,0,,1,,233,,0,TO_RENOVATE
6044,HOUSE,HOUSE,130000,2,110,1,1,0,1,,1,300,470,3,0,TO_BE_DONE_UP
4970,HOUSE,HOUSE,450000,9,400,1,0,0,0,,1,1300,1500,4,0,
9890,HOUSE,MANSION,435000,5,452,0,0,0,0,,1,,460,4,0,TO_RENOVATE
9450,HOUSE,HOUSE,265000,3,180,0,0,0,0,,1,,240,,0,TO_BE_DONE_UP
4020,HOUSE,HOUSE,121000,3,85,1,0,0,1,20,0,,69,,0,GOOD
1160,HOUSE,HOUSE,550000,3,150,0,0,1,1,10,1,100,141,2,0,TO_RENOVATE
1850,HOUSE,HOUSE,490000,4,200,1,0,0,0,,1,90,190,,0,GOOD
8610,HOUSE,HOUSE,185000,3,,0,0,0,0,,0,,1446,3,0,
8380,HOUSE,MIXED_USE_BUILDING,519000,3,310,0,0,0,0,,0,,464,,0,JUST_RENOVATED
2170,HOUSE,HOUSE,325000,3,145,1,0,0,1,17,1,62,130,2,0,JUST_RENOVATED
8830,HOUSE,HOUSE,245000,3,131,1,0,0,1,,1,1,672,,0,GOOD
1380,HOUSE,VILLA,3600000,3,,0,0,1,1,,0,,29000,4,0,AS_NEW
4400,HOUSE,HOUSE,277227,3,,0,0,0,1,,0,,338,2,0,
6000,HOUSE,TOWN_HOUSE,150000,2,80,1,0,0,1,45,0,,0,2,0,TO_RENOVATE
2640,HOUSE,HOUSE,210000,3,,0,0,0,0,,0,,116,2,0,TO_RENOVATE
6044,HOUSE,HOUSE,145000,3,120,1,0,0,1,,0,,0,2,0,TO_BE_DONE_UP
9600,APARTMENT,APARTMENT,165000,1,69,1,0,0,0,,1,42,,2,0,GOOD
2000,HOUSE,MIXED_USE_BUILDING,829000,3,308,1,0,0,0,,0,,83,3,0,
2560,HOUSE,HOUSE,324000,3,196,1,0,0,1,11,1,30,126,2,0,
8000,HOUSE,HOUSE,405000,4,166,0,0,0,0,,0,,195,,0,
1500,HOUSE,MIXED_USE_BUILDING,550000,4,474,0,0,0,0,,0,,229,,0,
8710,HOUSE,HOUSE,412000,3,142,1,0,0,1,15,0,,389,2,0,GOOD
1325,APARTMENT,DUPLEX,265000,2,93,1,0,0,1,12,0,,,4,0,
1330,HOUSE,VILLA,749000,9,420,1,0,0,1,,0,,1296,4,0,GOOD
2170,APARTMENT,APARTMENT,235000,2,,0,0,0,0,,1,249,,,0,
9120,APARTMENT,APARTMENT,322500,2,106,1,0,0,1,32,0,,,,0,
9402,APARTMENT,APARTMENT,167990,1,60,0,0,0,0,,0,,,,0,
2000,APARTMENT,APARTMENT,256000,1,80,1,0,0,0,,0,,,2,0,GOOD
8310,APARTMENT,GROUND_FLOOR,219000,2,92,0,0,0,0,,0,,,,0,
4500,APARTMENT,APARTMENT,208000,2,90,0,0,0,1,10,0,,,,0,
3590,APARTMENT,APARTMENT,221340,2,99,1,0,0,1,10,0,,,,0,AS_NEW
2000,APARTMENT,APARTMENT,235000,1,50,1,1,0,1,4,0,,,2,0,AS_NEW
4987,HOUSE,HOUSE,120000,2,120,0,0,0,0,,0,,400,3,0,TO_RESTORE
8800,APARTMENT,PENTHOUSE,120000,2,88,0,0,0,1,,0,,,2,0,GOOD
9280,APARTMENT,APARTMENT,230000,2,92,1,0,0,1,,0,,,,0,AS_NEW
4500,APARTMENT,APARTMENT,183000,2,80,0,0,0,1,5,0,,,2,0,
7500,HOUSE,VILLA,2400000,5,536,1,0,0,1,,0,,7165,4,1,AS_NEW
1050,APARTMENT,APARTMENT,345000,1,65,0,1,0,1,7,0,,,,0,
9200,HOUSE,MIXED_USE_BUILDING,1290000,2,1108,1,0,0,0,,0,,2340,4,0,
7700,HOUSE,HOUSE,219000,3,115,1,0,0,1,17,1,134,229,2,0,GOOD
4680,HOUSE,HOUSE,429000,6,270,1,0,1,1,,1,,1724,4,0,GOOD
9300,APARTMENT,PENTHOUSE,450000,1,123,0,0,0,0,,0,,,,0,AS_NEW
9600,HOUSE,MANSION,265000,4,245,1,0,0,0,,0,,237,2,0,
4100,HOUSE,HOUSE,165000,2,120,1,0,0,1,40,1,145,246,2,0,GOOD
1000,HOUSE,MIXED_USE_BUILDING,595000,3,304,1,0,0,1,40,0,,71,2,0,AS_NEW
1620,HOUSE,HOUSE,325000,3,150,1,0,0,1,24,1,100,0,2,0,GOOD
9040,APARTMENT,DUPLEX,275000,3,104,1,0,0,1,37,0,,,,0,
3740,HOUSE,HOUSE,415000,3,163,1,0,0,1,,1,,468,,0,AS_NEW
8930,APARTMENT,APARTMENT,175000,3,,1,0,0,0,,0,,,,0,AS_NEW
6600,HOUSE,HOUSE,120000,3,121,1,0,0,0,,0,,176,3,0,TO_BE_DONE_UP
7134,HOUSE,HOUSE,95000,2,119,1,0,0,0,,0,,170,2,0,TO_RENOVATE
1770,APARTMENT,APARTMENT,189000,3,96,1,0,0,1,8,0,,,4,0,TO_RENOVATE
8300,HOUSE,VILLA,3000000,4,260,1,0,0,1,,1,1171,1171,4,1,AS_NEW
8301,APARTMENT,APARTMENT,308500,2,83,1,0,0,1,,0,,,,0,AS_NEW
8210,HOUSE,HOUSE,435000,4,282,1,0,0,0,,0,,989,4,0,GOOD
6800,HOUSE,HOUSE,175000,3,172,0,0,0,1,,1,1000,1254,4,0,TO_RENOVATE
1420,HOUSE,HOUSE,295000,4,180,1,0,0,1,22,1,82,190,2,0,TO_RENOVATE
4051,HOUSE,HOUSE,235000,3,134,1,0,0,1,44,1,400,563,4,0,
4100,HOUSE,HOUSE,275000,5,300,1,0,0,1,25,1,280,355,2,0,GOOD
1000,APARTMENT,LOFT,750000,2,172,1,0,0,1,33,0,,,,0,AS_NEW
8620,APARTMENT,APARTMENT,675000,3,130,1,1,0,1,,1,,,,0,
4870,APARTMENT,APARTMENT,175000,2,100,1,0,0,0,,0,,,,0,AS_NEW
9200,HOUSE,HOUSE,277500,4,154,1,0,0,1,,1,242,481,3,0,
8930,APARTMENT,PENTHOUSE,193600,2,82,1,0,0,1,10,1,12,,2,0,GOOD
4250,HOUSE,HOUSE,219000,3,163,1,0,0,1,24,1,950,1223,3,0,GOOD
1348,APARTMENT,PENTHOUSE,630000,204,204,0,0,0,0,,0,,,4,0,AS_NEW
9100,APARTMENT,APARTMENT,313000,3,130,1,0,0,1,9,0,,,3,0,GOOD
8400,APARTMENT,APARTMENT,589000,3,116,1,0,1,0,,0,,,2,0,JUST_RENOVATED
2830,APARTMENT,APARTMENT,234000,3,106,1,0,0,0,,0,,,2,0,GOOD
7090,HOUSE,VILLA,540000,3,185,1,0,0,1,25,1,,2222,4,0,GOOD
2180,HOUSE,HOUSE,540000,4,220,1,0,0,1,20,1,311,312,,0,AS_NEW
